"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Extension","","","",0,*,"","","","","DoseAndRate","The amount of medication administered.","","","","","","","","","",,,,,"",,,,"Extension",0,*,"",""
"Extension.id","","","",0,1,"","","","id {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references).","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"",""
"Extension.extension","type","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/mcode/StructureDefinition/obf-datatype-Type-extension]]} {[]}
","","A code describing the item at a greater level of detail.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension.id","","","",0,1,"","","","id {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references).","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension.extension","","extensions
user content","",0,0,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition should be version specific.  This will ideally be the URI for the Resource Profile defining the extension, with the code for the extension after a #.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://mcodeinitiative.org/us/mcode/StructureDefinition/obf-datatype-Type-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.extension.valueCodeableConcept","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/dose-rate-type","",,,,"Extension.value[x]",0,1,"",""
"Extension.extension","doseamount","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/mcode/StructureDefinition/obf-DoseAmount-extension]]} {[]}
","","The amount of medication taken per dose, as a quantity or range. Relative dose (e.g., per kg body weight or surface area) are indicated by specifying appropriate units (e.g., mg/kg or mg/m2 etc).","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension","doserate","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/mcode/StructureDefinition/obf-DoseRate-extension]]} {[]}
","","The speed with which the medication was or will be introduced into the patient. Typically the rate is used to describe an infusion, e.g,. 100 ml per 1 hour or 100 ml/hr.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition should be version specific.  This will ideally be the URI for the Resource Profile defining the extension, with the code for the extension after a #.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://mcodeinitiative.org/us/mcode/StructureDefinition/obf-DoseAndRate-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.value[x]","","","",0,0,"","","","boolean {[]} {[]}
integer {[]} {[]}decimal {[]} {[]}base64Binary {[]} {[]}instant {[]} {[]}string {[]} {[]}uri {[]} {[]}date {[]} {[]}dateTime {[]} {[]}time {[]} {[]}code {[]} {[]}oid {[]} {[]}id {[]} {[]}unsignedInt {[]} {[]}positiveInt {[]} {[]}markdown {[]} {[]}Annotation {[]} {[]}Attachment {[]} {[]}Identifier {[]} {[]}CodeableConcept {[]} {[]}Coding {[]} {[]}Quantity {[]} {[]}Range {[]} {[]}Period {[]} {[]}Ratio {[]} {[]}SampledData {[]} {[]}Signature {[]} {[]}HumanName {[]} {[]}Address {[]} {[]}ContactPoint {[]} {[]}Timing {[]} {[]}Reference {[]} {[]}Meta {[]} {[]}","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"",""
