"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Appointment-model","","","",0,*,"","","","","","A booking of a healthcare event among patient(s), practitioner(s), related person(s) and/or device(s) for a specific date/time.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model",0,*,"",""
"shr-core-Appointment-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.metadata",0,1,"",""
"shr-core-Appointment-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0023008
",,,,"shr-core-Appointment-model.language",0,1,"",""
"shr-core-Appointment-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.implicitRules",0,1,"",""
"shr-core-Appointment-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.narrative",0,1,"",""
"shr-core-Appointment-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/appointmentstatus","",,,,"shr-core-Appointment-model.status",1,1,"",""
"shr-core-Appointment-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.identifier",0,*,"",""
"shr-core-Appointment-model.serviceCategory","","","",0,1,"","","","Coding {[]} {[]}
","A broad categorization of the service (ordered, planned, or performed).","A broad categorization of the service (ordered, planned, or performed).","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/service-category","",,,,"shr-core-Appointment-model.serviceCategory",0,1,"",""
"shr-core-Appointment-model.serviceType","","","",0,*,"","","","Coding {[]} {[]}
","A service requested or to be performed during this appointment","A service requested or to be performed during this appointment","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/service-type","",,,,"shr-core-Appointment-model.serviceType",0,*,"",""
"shr-core-Appointment-model.specialty","","","",0,*,"","","","Coding {[]} {[]}
","The specialty of a practitioner who (should, will, or did) perform a service.","The specialty of a practitioner who (should, will, or did) perform a service.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/c80-practice-codes","",,,,"shr-core-Appointment-model.specialty",0,*,"",""
"shr-core-Appointment-model.type","","","",0,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/v2-0276","http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-Appointment-model.type",0,1,"",""
"shr-core-Appointment-model.reasonCode","","","",0,1,"","","","Coding {[]} {[]}
","The justification, as a code.","The justification, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept, so we are not going to support a string.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0566251
",,,,"shr-core-Appointment-model.reasonCode",0,1,"",""
