"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Dosage-model","","","",0,*,"","","","","","The dosage of the medication. The data structure is flexible and can describe a dosage prescribed, administered, or reported.","","","","","","","","","",,,,,"",,,,"shr-core-Dosage-model",0,*,"",""
"shr-core-Dosage-model.doseSequenceNumber","","","",0,1,"","","","integer {[]} {[]}
","Dose number within series.","Dose number within series.","","","","","","","","","",,,,,"",,,,"shr-core-Dosage-model.doseSequenceNumber",0,1,"",""
"shr-core-Dosage-model.instructionText","","","",0,1,"","","","string {[]} {[]}
","The directions (signetur) on the drug prescription or dispensing record.","The directions (signetur) on the drug prescription or dispensing record.","","","","","","","","","",,,,,"",,,,"shr-core-Dosage-model.instructionText",0,1,"",""
"shr-core-Dosage-model.instructionCode","","","",0,*,"","","","Coding {[]} {[]}
","Coded instructions, e.g., 'with meals'.","Coded instructions, e.g., 'with meals'.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/additional-instruction-codes","",,,,"shr-core-Dosage-model.instructionCode",0,*,"",""
"shr-core-Dosage-model.patientInstruction","","","",0,1,"","","","string {[]} {[]}
","Patient or consumer-oriented instructions.","Patient or consumer-oriented instructions.","","","","","","","","","",,,,,"",,,,"shr-core-Dosage-model.patientInstruction",0,1,"",""
"shr-core-Dosage-model.timing","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Timing-model {[]} {[]}
","A timing schedule that specifies an event that may occur multiple times.","A timing schedule that specifies an event that may occur multiple times.
Timing offers a choice of multiple OccurrenceTime (used is used to specify specific times), or recurrence patterns.","","","","","","","","","",,,,,"",,,,"shr-core-Dosage-model.timing",0,1,"",""
"shr-core-Dosage-model.asNeeded[x]","","","",0,1,"","","","boolean {[]} {[]}
Coding {[]} {[]}","Preconditions for service, either 'true' indicating to be performed if needed, or a code indicating the pre-condition for performing the service. For example 'pain', 'on flare-up', etc.","Preconditions for service, either 'true' indicating to be performed if needed, or a code indicating the pre-condition for performing the service. For example 'pain', 'on flare-up', etc.","","","","","","","","","",,,,,"",,,,"shr-core-Dosage-model.asNeeded[x]",0,1,"",""
"shr-core-Dosage-model.administrationSite","","","",0,1,"","","","Coding {[]} {[]}
","The anatomic site at which the medication applied.","The anatomic site at which the medication applied.","","","","","","","","","",,"example","","http://hl7.org/fhir/us/odh/ValueSet/shr-core-BodyLocationVS","",,,,"shr-core-Dosage-model.administrationSite",0,1,"",""
"shr-core-Dosage-model.routeIntoBody","","","",0,1,"","","","Coding {[]} {[]}
","The way a substance enters an organism after contact, particularly, the route of drug administration.","The way a substance enters an organism after contact, particularly, the route of drug administration.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/route-codes","http://ncimeta.nci.nih.gov#C0013153
",,,,"shr-core-Dosage-model.routeIntoBody",0,1,"",""
"shr-core-Dosage-model.method","","","",0,1,"","","","Coding {[]} {[]}
","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/administration-method-codes","",,,,"shr-core-Dosage-model.method",0,1,"",""
"shr-core-Dosage-model.doseAndRate","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-DoseAndRate-model {[]} {[]}
","The amount of medication administered.","The amount of medication administered.","","","","","","","","","",,,,,"",,,,"shr-core-Dosage-model.doseAndRate",0,1,"",""
"shr-core-Dosage-model.maxDosePerPeriod","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Ratio-model {[]} {[]}
","The maximum amount of a medication to be taken in a given period of time (e.g., no more than x in any 24-hour period)","The maximum amount of a medication to be taken in a given period of time (e.g., no more than x in any 24-hour period)","","","","","","","","","",,,,,"",,,,"shr-core-Dosage-model.maxDosePerPeriod",0,1,"",""
"shr-core-Dosage-model.maxDosePerAdministration","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-SimpleQuantity-model {[]} {[]}
","Upper limit on medication per administration.","Upper limit on medication per administration.","","","","","","","","","",,,,,"",,,,"shr-core-Dosage-model.maxDosePerAdministration",0,1,"",""
"shr-core-Dosage-model.maxDosePerLifetime","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-SimpleQuantity-model {[]} {[]}
","Upper limit on medication per lifetime of the patient.","Upper limit on medication per lifetime of the patient.","","","","","","","","","",,,,,"",,,,"shr-core-Dosage-model.maxDosePerLifetime",0,1,"",""
