"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-EncounterOrEpisode-model","","","",0,*,"","","","","","Abstract element representing a group of services delivered to a patient.","","","","","","","","","",,,,,"",,,,"shr-core-EncounterOrEpisode-model",0,*,"",""
"shr-core-EncounterOrEpisode-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-EncounterOrEpisode-model.metadata",0,1,"",""
"shr-core-EncounterOrEpisode-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-EncounterOrEpisode-model.language",0,1,"",""
"shr-core-EncounterOrEpisode-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-EncounterOrEpisode-model.implicitRules",0,1,"",""
"shr-core-EncounterOrEpisode-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-EncounterOrEpisode-model.narrative",0,1,"",""
"shr-core-EncounterOrEpisode-model.statusHistory","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-StatusHistory-model {[]} {[]}
","List of past encounter statuses","List of past encounter statuses","","","","","","","","","",,,,,"",,,,"shr-core-EncounterOrEpisode-model.statusHistory",0,*,"",""
"shr-core-EncounterOrEpisode-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,,,,"",,,,"shr-core-EncounterOrEpisode-model.status",1,1,"",""
"shr-core-EncounterOrEpisode-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-EncounterOrEpisode-model.identifier",0,*,"",""
"shr-core-EncounterOrEpisode-model.timePeriod","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","A period of time defined by a start and end time, date, or year.","A period of time defined by a start and end time, date, or year.
If the start date/time is missing, the start of the period is not known. If the end date/time is missing, it means that the period is ongoing.","","","","","","","","","",,,,,"",,,,"shr-core-EncounterOrEpisode-model.timePeriod",0,1,"",""
"shr-core-EncounterOrEpisode-model.encounterDiagnosis","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-EncounterDiagnosis-model {[]} {[]}
","A diagnosis, which is a disease or injury determined to be present through evaluation of patient history, examination, and/or review of laboratory data. This element is not a stand-alone representation of the condition that was diagnosed, but is meant to be used as an sub-structure in a resource, such as Encounter.","A diagnosis, which is a disease or injury determined to be present through evaluation of patient history, examination, and/or review of laboratory data. This element is not a stand-alone representation of the condition that was diagnosed, but is meant to be used as an sub-structure in a resource, such as Encounter.","","","","","","","","","",,,,,"",,,,"shr-core-EncounterOrEpisode-model.encounterDiagnosis",0,*,"",""
"shr-core-EncounterOrEpisode-model.subjectOfRecord","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Patient-model]]}
","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.

Note that the word 'Subject' is used here in the sense of a person or entity subjected to observations or actions, not subject as in a conceptual topic, like heart disease.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1299487
",,,,"shr-core-EncounterOrEpisode-model.subjectOfRecord",1,1,"",""
"shr-core-EncounterOrEpisode-model.type","","","",0,*,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-EncounterOrEpisode-model.type",0,*,"",""
