"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Group-model","","","",0,*,"","","","","","A set of entities (personnel, material, or places) to be considered together. May be a pool of like-type resources, a team, or combination of personnel, material and places.","","","","","","","","","",,,,,"",,,,"shr-core-Group-model",0,*,"",""
"shr-core-Group-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Group-model.metadata",0,1,"",""
"shr-core-Group-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0023008
",,,,"shr-core-Group-model.language",0,1,"",""
"shr-core-Group-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-Group-model.implicitRules",0,1,"",""
"shr-core-Group-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-Group-model.narrative",0,1,"",""
"shr-core-Group-model.status","","","",0,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/odh/shr/core/vs/ActiveOrInactiveVS","",,,,"shr-core-Group-model.status",0,1,"",""
"shr-core-Group-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-Group-model.identifier",0,*,"",""
"shr-core-Group-model.partOf","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DomainResource-model]]}
","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","","","","","","","","","",,,,,"",,,,"shr-core-Group-model.partOf",0,1,"",""
"shr-core-Group-model.type","","","",1,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/group-type","http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-Group-model.type",1,1,"",""
"shr-core-Group-model.title","","","",0,1,"","","","string {[]} {[]}
","A distinguishing word or group of words naming an item.","A distinguishing word or group of words naming an item.","","","","","","","","","",,,,,"",,,,"shr-core-Group-model.title",0,1,"",""
"shr-core-Group-model.actual","","","",1,1,"","","","boolean {[]} {[]}
","True if the group is an actual group (as opposed to definitional).","True if the group is an actual group (as opposed to definitional).","","","","","","","","","",,,,,"",,,,"shr-core-Group-model.actual",1,1,"",""
"shr-core-Group-model.groupCharacteristic","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-GroupCharacteristic-model {[]} {[]}
","An inclusion or exclusion criterion as part of defining a cohort.","An inclusion or exclusion criterion as part of defining a cohort.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0599755
",,,,"shr-core-Group-model.groupCharacteristic",0,*,"",""
"shr-core-Group-model.memberParticipation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MemberParticipation-model {[]} {[]}
","A person or entity in a group.","A person or entity in a group.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0682343 (Member of Target Group)
",,,,"shr-core-Group-model.memberParticipation",0,*,"",""
"shr-core-Group-model.count","","","",0,1,"","","","unsignedInt {[]} {[]}
","The number of items (0 or more), as an integer.","The number of items (0 or more), as an integer.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0750480
",,,,"shr-core-Group-model.count",0,1,"",""
