"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Location-model","","","",0,*,"","","","","","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","","","","","","","","","",,,,,"",,,,"shr-core-Location-model",0,*,"",""
"shr-core-Location-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.metadata",0,1,"",""
"shr-core-Location-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.language",0,1,"",""
"shr-core-Location-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.implicitRules",0,1,"",""
"shr-core-Location-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.narrative",0,1,"",""
"shr-core-Location-model.status","","","",0,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/location-status","",,,,"shr-core-Location-model.status",0,1,"",""
"shr-core-Location-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.identifier",0,*,"",""
"shr-core-Location-model.partOf","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Location-model]]}
","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.partOf",0,1,"",""
"shr-core-Location-model.operationalStatus","","","",0,1,"","","","Coding {[]} {[]}
","The operational status covers operation values most relevant to beds (but can also apply to rooms/units/chairs/etc. such as an isolation unit/dialysis chair). This typically covers concepts such as contamination, housekeeping, and other activities like maintenance.","The operational status covers operation values most relevant to beds (but can also apply to rooms/units/chairs/etc. such as an isolation unit/dialysis chair). This typically covers concepts such as contamination, housekeeping, and other activities like maintenance.","","","","","","","","","",,"preferred","","http://terminology.hl7.org/ValueSet/v2-0116","",,,,"shr-core-Location-model.operationalStatus",0,1,"",""
"shr-core-Location-model.name","","","",1,1,"","","","string {[]} {[]}
","The name as plain unstructured or semi-structured text.","The name as plain unstructured or semi-structured text.","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.name",1,1,"",""
"shr-core-Location-model.alias","","","",0,*,"","","","string {[]} {[]}
","A list of alternate names the subject is or was known as.","A list of alternate names the subject is or was known as.","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.alias",0,*,"",""
"shr-core-Location-model.commentOrDescription","","","",0,1,"","","","string {[]} {[]}
","A text note containing additional details, explanation, description, comment, or summarization.","A text note containing additional details, explanation, description, comment, or summarization.","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.commentOrDescription",0,1,"",""
"shr-core-Location-model.mode","","","",0,1,"","","","Coding {[]} {[]}
","Mode indicates whether a resource instance represents a specific item or a class of items, an actual or potential event, an instance or definition, etc.","Mode indicates whether a resource instance represents a specific item or a class of items, an actual or potential event, an instance or definition, etc.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/location-mode","",,,,"shr-core-Location-model.mode",0,1,"",""
"shr-core-Location-model.type","","","",1,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType","http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-Location-model.type",1,1,"",""
"shr-core-Location-model.contactPoint","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ContactPoint-model {[]} {[]}
","An electronic means of contacting an organization or individual.","An electronic means of contacting an organization or individual.","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.contactPoint",0,*,"",""
"shr-core-Location-model.address","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Address-model {[]} {[]}
","An address expressed using postal conventions (as opposed to GPS or other location definition formats). This data type may be used to convey addresses for use in delivering mail as well as for visiting locations and which might not be valid for mail delivery. There are a variety of postal address formats defined around the world. (Source: HL7 FHIR).","An address expressed using postal conventions (as opposed to GPS or other location definition formats). This data type may be used to convey addresses for use in delivering mail as well as for visiting locations and which might not be valid for mail delivery. There are a variety of postal address formats defined around the world. (Source: HL7 FHIR).","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.address",0,1,"",""
"shr-core-Location-model.physicalType","","","",0,1,"","","","Coding {[]} {[]}
","Physical form of the location, e.g. building, room, vehicle, road.","Physical form of the location, e.g. building, room, vehicle, road.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/location-physical-type","",,,,"shr-core-Location-model.physicalType",0,1,"",""
"shr-core-Location-model.geoposition","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Geoposition-model {[]} {[]}
","The location on the surface of the Earth, described by a latitude and longitude (and optional altitude).","The location on the surface of the Earth, described by a latitude and longitude (and optional altitude).","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.geoposition",0,1,"",""
"shr-core-Location-model.managingOrganization","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Organization-model]]}
","The organization that manages a patient, activity, facility, document, or service provision.","The organization that manages a patient, activity, facility, document, or service provision.","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.managingOrganization",1,1,"",""
"shr-core-Location-model.hoursOfOperation","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-HoursOfOperation-model {[]} {[]}
","What days/times during a week is this location usually open.","What days/times during a week is this location usually open.","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.hoursOfOperation",0,*,"",""
"shr-core-Location-model.availabilityExceptions","","","",0,1,"","","","string {[]} {[]}
","A description of when the locations opening ours are different to normal, e.g. public holiday availability. Succinctly describing all possible exceptions to normal site availability as detailed in the opening hours Times.","A description of when the locations opening ours are different to normal, e.g. public holiday availability. Succinctly describing all possible exceptions to normal site availability as detailed in the opening hours Times.","","","","","","","","","",,,,,"",,,,"shr-core-Location-model.availabilityExceptions",0,1,"",""
