"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-MedicationAdministration-model","","","",0,*,"","","","","","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.
Although FHIR MedicationAdministration supports date of administration, information source, performer, it lacks common provenance elements, statement creation date, author, and recorder. These are supported as optional extensions.
FHIR DSTU2 lacks a category attribute, which is provided as an extension in that version.
SHR does not allow the 'not given' attributes from DSTU2 and STU3, since they are dropped in R4. The status element is used to document medications not given.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model",0,*,"",""
"shr-core-MedicationAdministration-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.metadata",0,1,"",""
"shr-core-MedicationAdministration-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.language",0,1,"",""
"shr-core-MedicationAdministration-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.implicitRules",0,1,"",""
"shr-core-MedicationAdministration-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.narrative",0,1,"",""
"shr-core-MedicationAdministration-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/medication-admin-status","",,,,"shr-core-MedicationAdministration-model.status",1,1,"",""
"shr-core-MedicationAdministration-model.statusReason","","","",0,*,"","","","Coding {[]} {[]}
","Captures the reason for the current state of the procedure.","Captures the reason for the current state of the procedure.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.statusReason",0,*,"",""
"shr-core-MedicationAdministration-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.identifier",0,*,"",""
"shr-core-MedicationAdministration-model.subjectOfRecord","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Patient-model]]}
","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.

Note that the word 'Subject' is used here in the sense of a person or entity subjected to observations or actions, not subject as in a conceptual topic, like heart disease.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1299487
",,,,"shr-core-MedicationAdministration-model.subjectOfRecord",1,1,"",""
"shr-core-MedicationAdministration-model.careContext[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Encounter-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-EpisodeOfCare-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"shr-core-MedicationAdministration-model.careContext[x]",0,1,"",""
"shr-core-MedicationAdministration-model.statementDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-MedicationAdministration-model.statementDateTime",0,1,"",""
"shr-core-MedicationAdministration-model.reasonCode","","","",0,*,"","","","Coding {[]} {[]}
","The explanation or justification for the current item or action, as a code.","The explanation or justification for the current item or action, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0566251
",,,,"shr-core-MedicationAdministration-model.reasonCode",0,*,"",""
"shr-core-MedicationAdministration-model.medicationReasonReference[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Condition-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Observation-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-DiagnosticReport-model]]}
","Condition or observation that supports why the medication is being/was taken","Condition or observation that supports why the medication is being/was taken","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-MedicationAdministration-model.medicationReasonReference[x]",0,*,"",""
