"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-MedicationRequest-model","","","",0,*,"","","","","","An order for a medication to be dispensed and instructions for use.
Value sets for status are in direct conflict between DSTU2 Argonaut and STU3 US-Core.
Category does not exist in DSTU2 and is provided as an extension.
Intent was added in STU3 and is provided as an extension with required binding.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model",0,*,"",""
"shr-core-MedicationRequest-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.metadata",0,1,"",""
"shr-core-MedicationRequest-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0023008
",,,,"shr-core-MedicationRequest-model.language",0,1,"",""
"shr-core-MedicationRequest-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.implicitRules",0,1,"",""
"shr-core-MedicationRequest-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.narrative",0,1,"",""
"shr-core-MedicationRequest-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.status",1,1,"",""
"shr-core-MedicationRequest-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.identifier",0,*,"",""
"shr-core-MedicationRequest-model.patientSubjectOfRecord","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model]]}
","The SubjectOfRecord when restricted to being a Patient resource.","The SubjectOfRecord when restricted to being a Patient resource.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1299487
",,,,"shr-core-MedicationRequest-model.patientSubjectOfRecord",1,1,"",""
"shr-core-MedicationRequest-model.careContext[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Encounter-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EpisodeOfCare-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.careContext[x]",0,1,"",""
"shr-core-MedicationRequest-model.statementDateTime","","","",1,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-MedicationRequest-model.statementDateTime",1,1,"",""
"shr-core-MedicationRequest-model.reasonCode","","","",0,1,"","","","Coding {[]} {[]}
","The justification, as a code.","The justification, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept, so we are not going to support a string.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/condition-code","http://ncimeta.nci.nih.gov#C0566251
",,,,"shr-core-MedicationRequest-model.reasonCode",0,1,"",""
"shr-core-MedicationRequest-model.reasonReference","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model]]}
","The justification, as reference to a condition or observation.","The justification, as reference to a condition or observation.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.reasonReference",0,1,"",""
"shr-core-MedicationRequest-model.type","","","",0,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/medication-admin-category","http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-MedicationRequest-model.type",0,1,"",""
"shr-core-MedicationRequest-model.requestIntent","","","",1,1,"","","","Coding {[]} {[]}
","Indicates the level of authority/intentionality associated with the request and where the request fits into the workflow chain.","Indicates the level of authority/intentionality associated with the request and where the request fits into the workflow chain.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/medication-request-intent","",,,,"shr-core-MedicationRequest-model.requestIntent",1,1,"",""
"shr-core-MedicationRequest-model.expectedPerformanceTime","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1948053
",,,,"shr-core-MedicationRequest-model.expectedPerformanceTime",0,1,"",""
"shr-core-MedicationRequest-model.expectedPerformerType","","","",0,0,"","","","Coding {[]} {[]}
","What type of party should carry out the testing.","What type of party should carry out the testing.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.expectedPerformerType",0,0,"",""
"shr-core-MedicationRequest-model.recipient","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","Who this request is being addressed to.","Who this request is being addressed to.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1561598
",,,,"shr-core-MedicationRequest-model.recipient",0,1,"",""
"shr-core-MedicationRequest-model.priorityCode[x]","","","",0,1,"","","","positiveInt {[]} {[]}
Coding {[]} {[]}","An indication of the importance of an action relative to other actions.","An indication of the importance of an action relative to other actions.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0549179
","type:$this}
","",,"open","shr-core-MedicationRequest-model.priorityCode[x]",0,1,"",""
"shr-core-MedicationRequest-model.priorityCodeCoding","codeableConcept","","",1,1,"","","","Coding {[]} {[]}
","PositiveInt or code representing an indication of the importance of an action relative to other actions.","PositiveInt or code representing an indication of the importance of an action relative to other actions.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/medication-request-priority","",,,,"shr-core-MedicationRequest-model.priorityCodeCoding",1,1,"",""
"shr-core-MedicationRequest-model.annotation","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.annotation",0,1,"",""
"shr-core-MedicationRequest-model.communicationMethod","","","",0,0,"","","","Coding {[]} {[]}
","This is the method the provider used to communicate. Examples include: Written, Telephoned, Verbal, Electronically Entered, Policy, Service Correction, Duplicate, etc. 'Code indicating the origin of the prescription.' - NCPDP Telecommunication (Field 419-DJ, Data Dictionary 201104). Possible values include: Written; Telephone; Electronic; Facsimile; Pharmacy; Not Known.","This is the method the provider used to communicate. Examples include: Written, Telephoned, Verbal, Electronically Entered, Policy, Service Correction, Duplicate, etc. 'Code indicating the origin of the prescription.' - NCPDP Telecommunication (Field 419-DJ, Data Dictionary 201104). Possible values include: Written; Telephone; Electronic; Facsimile; Pharmacy; Not Known.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.communicationMethod",0,0,"",""
"shr-core-MedicationRequest-model.medicationCodeOrReference[x]","","","",1,1,"","","","Coding {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Medication-model]]}","A choice of a medication code or reference.","A choice of a medication code or reference.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.medicationCodeOrReference[x]",1,1,"",""
"shr-core-MedicationRequest-model.dosage","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Dosage-model {[]} {[]}
","The dosage of the medication. The data structure is flexible and can describe a dosage prescribed, administered, or reported.","The dosage of the medication. The data structure is flexible and can describe a dosage prescribed, administered, or reported.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0178602
",,,,"shr-core-MedicationRequest-model.dosage",0,1,"",""
"shr-core-MedicationRequest-model.medicationRequester[x]","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model]]}
","The individual, organization or device that initiated the request and has responsibility for its activation.","The individual, organization or device that initiated the request and has responsibility for its activation.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.medicationRequester[x]",1,1,"",""
"shr-core-MedicationRequest-model.numberOfRefillsAllowed","","","",0,1,"","","","positiveInt {[]} {[]}
","The maximum number of times the dispense can be repeated. For medication dispense, this integer does NOT include the original order dispense. This means that if an order indicates dispense 30 tablets plus 3 repeats, then the order can be dispensed a total of 4 times and the patient can receive a total of 120 tablets.","The maximum number of times the dispense can be repeated. For medication dispense, this integer does NOT include the original order dispense. This means that if an order indicates dispense 30 tablets plus 3 repeats, then the order can be dispensed a total of 4 times and the patient can receive a total of 120 tablets.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.numberOfRefillsAllowed",0,1,"",""
"shr-core-MedicationRequest-model.quantityPerDispense","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-SimpleQuantity-model {[]} {[]}
","The amount that is to be dispensed for one fill.","The amount that is to be dispensed for one fill.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.quantityPerDispense",0,1,"",""
"shr-core-MedicationRequest-model.supplyDuration","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Duration-model {[]} {[]}
","Identifies the period time over which the supplied product is expected to be used, or the length of time the dispense is expected to last.","Identifies the period time over which the supplied product is expected to be used, or the length of time the dispense is expected to last.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0449238
",,,,"shr-core-MedicationRequest-model.supplyDuration",0,1,"",""
