"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Organization-model","","","",0,*,"","","","","","A formally or informally recognized grouping of people or organizations formed for the purpose of achieving some form of collective action. Includes companies, institutions, corporations, departments, community groups, healthcare practice groups, payer/insurer, etc.

Organization type is restricted to 0..1 in FHIR DSTU2, similarly restricted here. Other required attributes come from STU 3 mapping to us-core-organization.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model",0,*,"",""
"shr-core-Organization-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.metadata",0,1,"",""
"shr-core-Organization-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.language",0,1,"",""
"shr-core-Organization-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.implicitRules",0,1,"",""
"shr-core-Organization-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.narrative",0,1,"",""
"shr-core-Organization-model.status","","","",0,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.status",0,1,"",""
"shr-core-Organization-model.identifier","","","",1,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.identifier",1,*,"",""
"shr-core-Organization-model.partOf","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Organization-model]]}
","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.partOf",0,1,"",""
"shr-core-Organization-model.active","","","",1,1,"","","","boolean {[]} {[]}
","Whether the record is in use (true) or retired (false).","Whether the record is in use (true) or retired (false).","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.active",1,1,"",""
"shr-core-Organization-model.type","","","",0,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/organization-type","http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-Organization-model.type",0,1,"",""
"shr-core-Organization-model.name","","","",1,1,"","","","string {[]} {[]}
","The name as plain unstructured or semi-structured text.","The name as plain unstructured or semi-structured text.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.name",1,1,"",""
"shr-core-Organization-model.alias","","","",0,*,"","","","string {[]} {[]}
","A list of alternate names the subject is or was known as.","A list of alternate names the subject is or was known as.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.alias",0,*,"",""
"shr-core-Organization-model.contactPoint","","","",1,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ContactPoint-model {[]} {[]}
","An electronic means of contacting an organization or individual.","An electronic means of contacting an organization or individual.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.contactPoint",1,*,"",""
"shr-core-Organization-model.address","","","",1,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Address-model {[]} {[]}
","An address expressed using postal conventions (as opposed to GPS or other location definition formats). This data type may be used to convey addresses for use in delivering mail as well as for visiting locations and which might not be valid for mail delivery. There are a variety of postal address formats defined around the world. (Source: HL7 FHIR).","An address expressed using postal conventions (as opposed to GPS or other location definition formats). This data type may be used to convey addresses for use in delivering mail as well as for visiting locations and which might not be valid for mail delivery. There are a variety of postal address formats defined around the world. (Source: HL7 FHIR).","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.address",1,*,"",""
"shr-core-Organization-model.contactPerson","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ContactPerson-model {[]} {[]}
","A contact party (e.g. guardian, partner, friend) for the person","A contact party (e.g. guardian, partner, friend) for the person","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.contactPerson",0,*,"",""
