"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-ActionRequested-model","","","",0,*,"","","","","","Abstract class representing a request for any type of action to be performed.","","","","","","","","","",,,,,"",,,,"shr-core-ActionRequested-model",0,*,"",""
"shr-core-ActionRequested-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-ActionRequested-model.metadata",0,1,"",""
"shr-core-ActionRequested-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0023008
",,,,"shr-core-ActionRequested-model.language",0,1,"",""
"shr-core-ActionRequested-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-ActionRequested-model.implicitRules",0,1,"",""
"shr-core-ActionRequested-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-ActionRequested-model.narrative",0,1,"",""
"shr-core-ActionRequested-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,,,,"",,,,"shr-core-ActionRequested-model.status",1,1,"",""
"shr-core-ActionRequested-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-ActionRequested-model.identifier",0,*,"",""
"shr-core-ActionRequested-model.subjectOfRecord[x]","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Group-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Specimen-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Location-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Medication-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ResearchSubject-model]]}
","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.

Note that the word 'Subject' is used here in the sense of a person or entity subjected to observations or actions, not subject as in a conceptual topic, like heart disease.","","","","","","","","","",,,,,"",,,,"shr-core-ActionRequested-model.subjectOfRecord[x]",1,1,"",""
"shr-core-ActionRequested-model.careContext[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Encounter-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EpisodeOfCare-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"shr-core-ActionRequested-model.careContext[x]",0,1,"",""
"shr-core-ActionRequested-model.statementDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-ActionRequested-model.statementDateTime",0,1,"",""
"shr-core-ActionRequested-model.reasonCode","","","",0,*,"","","","Coding {[]} {[]}
","The justification, as a code.","The justification, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept, so we are not going to support a string.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0566251
",,,,"shr-core-ActionRequested-model.reasonCode",0,*,"",""
"shr-core-ActionRequested-model.reasonReference[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","The justification, as reference to a condition or observation.","The justification, as reference to a condition or observation.","","","","","","","","","",,,,,"",,,,"shr-core-ActionRequested-model.reasonReference[x]",0,*,"",""
