"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Extension","","","",0,*,"","","","","Dosage","The dosage of the medication. The data structure is flexible and can describe a dosage prescribed, administered, or reported.","","","","","","","","","",,,,,"",,,,"Extension",0,1,"",""
"Extension.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"Extension.extension","doseamount","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DoseAmount-extension]]} {[]}
","","The amount of medication taken per dose, as a quantity or range. Relative dose (e.g., per kg body weight or surface area) are indicated by specifying appropriate units (e.g., mg/kg or mg/m2 etc).","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","timingofdoses","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimingOfDoses-extension]]} {[]}
","","When doses of medication should be administered.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","asneededindicator","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-AsNeededIndicator-extension]]} {[]}
","","Indicates the pre-condition under which the drug or intervention should be used.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","dosageinstructionstext","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DosageInstructionsText-extension]]} {[]}
","","The directions (signetur) on the drug prescription or dispensing record.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","additionaldosageinstruction","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-AdditionalDosageInstruction-extension]]} {[]}
","","Supplemental instructions - e.g. 'with meals'.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-AdditionalDosageInstruction-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.extension.valueCodeableConcept","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/additional-instruction-codes","",,,,"Extension.value[x]",0,1,"",""
"Extension.extension","routeintobody","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RouteIntoBody-extension]]} {[]}
","","The way a substance enters an organism after contact, particularly, the route of drug administration.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RouteIntoBody-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.extension.valueCodeableConcept","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/route-codes","",,,,"Extension.value[x]",0,1,"",""
"Extension.extension","dosagemethod","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DosageMethod-extension]]} {[]}
","","Technique for administering medication.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DosageMethod-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.extension.valueCodeableConcept","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/administration-method-codes","",,,,"Extension.value[x]",0,1,"",""
"Extension.extension","dosagebodysite","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DosageBodySite-extension]]} {[]}
","","The anatomic site at which medical intervention is applied.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
