"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Appointment-model","","","",0,*,"","","","","","A booking of a healthcare event among patient(s), practitioner(s), related person(s) and/or device(s) for a specific date/time.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model",0,*,"",""
"shr-core-Appointment-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.metadata",0,1,"",""
"shr-core-Appointment-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.language",0,1,"",""
"shr-core-Appointment-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.implicitRules",0,1,"",""
"shr-core-Appointment-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.narrative",0,1,"",""
"shr-core-Appointment-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/appointmentstatus","",,,,"shr-core-Appointment-model.status",1,1,"",""
"shr-core-Appointment-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.identifier",0,*,"",""
"shr-core-Appointment-model.serviceCategory","","","",0,1,"","","","Coding {[]} {[]}
","A broad categorization of the service (ordered, planned, or performed).","A broad categorization of the service (ordered, planned, or performed).","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/service-category","",,,,"shr-core-Appointment-model.serviceCategory",0,1,"",""
"shr-core-Appointment-model.serviceDetails","","","",0,*,"","","","Coding {[]} {[]}
","A service requested or performed. Additional details and instructions about the service requested or performed. For example, and order for a urinary catheter may have an order detail for an external or indwelling catheter, or an order for a bandage may require additional instructions specifying how the bandage should be applied.","A service requested or performed. Additional details and instructions about the service requested or performed. For example, and order for a urinary catheter may have an order detail for an external or indwelling catheter, or an order for a bandage may require additional instructions specifying how the bandage should be applied.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/service-type","",,,,"shr-core-Appointment-model.serviceDetails",0,*,"",""
"shr-core-Appointment-model.specialty","","","",0,*,"","","","Coding {[]} {[]}
","The specialty of a practitioner who (should, will, or did) perform a service.","The specialty of a practitioner who (should, will, or did) perform a service.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/c80-practice-codes","",,,,"shr-core-Appointment-model.specialty",0,*,"",""
"shr-core-Appointment-model.type","","","",0,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/v2-0276","http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-Appointment-model.type",0,1,"",""
"shr-core-Appointment-model.reasonCode","","","",0,1,"","","","Coding {[]} {[]}
","The explanation or justification for the current item or action, as a code.","The explanation or justification for the current item or action, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0566251
",,,,"shr-core-Appointment-model.reasonCode",0,1,"",""
"shr-core-Appointment-model.appointmentReasonReference[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","Reason the appointment is to take place (resource)","Reason the appointment is to take place (resource)","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-Appointment-model.appointmentReasonReference[x]",0,*,"",""
"shr-core-Appointment-model.appointmentReasonReferenceShr-core-Condition-model","Condition","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model]]}
","A condition that is or may be present in a subject. 'Condition' is interpreted broadly and could be a disorder, abnormality, problem, injury, complaint, functionality, illness, disease, ailment, sickness, affliction, upset, difficulty, disorder, symptom, worry, or trouble.","A condition that is or may be present in a subject. 'Condition' is interpreted broadly and could be a disorder, abnormality, problem, injury, complaint, functionality, illness, disease, ailment, sickness, affliction, upset, difficulty, disorder, symptom, worry, or trouble.
The Observation-based class, ConditionAbsent, should be used to describe conditions that are not present or negative findings.
SHR Condition uses the SHR BodyLocation structure that includes not only a code, but optional laterality, direction, clock direction, and distance. If included, the distance is measured from the location specified by the code, laterality, and direction.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.appointmentReasonReference[x]",0,*,"",""
"shr-core-Appointment-model.appointmentReasonReferenceShr-core-Procedure-model","Procedure","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model]]}
","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.appointmentReasonReference[x]",0,*,"",""
"shr-core-Appointment-model.appointmentReasonReferenceShr-core-Observation-model","Observation","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","Represents the result of evaluations (measurements, tests, or questions) that have been performed.","Represents the result of evaluations (measurements, tests, or questions) that have been performed.
Observation has a value representing the result (answer), or an DataAbsentReason indicating why the value is not present. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.
For an Observation, the Code describes the aspect or property of the subject being observed or measured. The Code is the 'question code' that pairs to the 'answer' contained in the Value.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.appointmentReasonReference[x]",0,*,"",""
"shr-core-Appointment-model.indication[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model]]}
","Conditions or situations where the procedure is recommended. In the Performed context, the actual indication should be reported.","Conditions or situations where the procedure is recommended. In the Performed context, the actual indication should be reported.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.indication[x]",0,*,"",""
"shr-core-Appointment-model.priorityRank","","","",0,1,"","","","positiveInt {[]} {[]}
","The priority of the procedure, as a number (1 being the highest priority)","The priority of the procedure, as a number (1 being the highest priority)","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.priorityRank",0,1,"",""
"shr-core-Appointment-model.commentOrDescription","","","",0,1,"","","","string {[]} {[]}
","A text note containing additional details, explanation, description, comment, or summarization.","A text note containing additional details, explanation, description, comment, or summarization.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.commentOrDescription",0,1,"",""
"shr-core-Appointment-model.patientInstruction","","","",0,1,"","","","string {[]} {[]}
","Patient or consumer-oriented instructions.","Patient or consumer-oriented instructions.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.patientInstruction",0,1,"",""
"shr-core-Appointment-model.supportingInformation","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DomainResource-model]]}
","Additional information to support this request.","Additional information to support this request.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.supportingInformation",0,*,"",""
"shr-core-Appointment-model.basedOnReferral","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferralRequest-model]]}
","The request that initiated this encounter.","The request that initiated this encounter.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.basedOnReferral",0,*,"",""
"shr-core-Appointment-model.appointmentParticipation","","","",1,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-AppointmentParticipation-model {[]} {[]}
","Participants involved in appointment","Participants involved in appointment","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.appointmentParticipation",1,*,"",""
"shr-core-Appointment-model.timePeriod","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","A period of time defined by a start and end time, date, or year.","A period of time defined by a start and end time, date, or year.
If the start date/time is missing, the start of the period is not known. If the end date/time is missing, it means that the period is ongoing.","","","","","","","","","",,,,,"",,,,"shr-core-Appointment-model.timePeriod",0,1,"",""
