"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Coverage-model","","","",0,*,"","","","","","Health insurance coverage available (even if not used for payment for a given encounter).","","","","","","","","","",,,,,"",,,,"shr-core-Coverage-model",0,*,"",""
"shr-core-Coverage-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Coverage-model.metadata",0,1,"",""
"shr-core-Coverage-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-Coverage-model.language",0,1,"",""
"shr-core-Coverage-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-Coverage-model.implicitRules",0,1,"",""
"shr-core-Coverage-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-Coverage-model.narrative",0,1,"",""
"shr-core-Coverage-model.status","","","",0,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/fm-status","",,,,"shr-core-Coverage-model.status",0,1,"",""
"shr-core-Coverage-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-Coverage-model.identifier",0,*,"",""
"shr-core-Coverage-model.coverageType","","","",0,1,"","","","Coding {[]} {[]}
","Coverage category such as medical or accident.","Coverage category such as medical or accident.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/coverage-type","",,,,"shr-core-Coverage-model.coverageType",0,1,"",""
"shr-core-Coverage-model.policyHolder[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","Owner of the policy","Owner of the policy","","","","","","","","","",,,,,"",,,,"shr-core-Coverage-model.policyHolder[x]",0,1,"",""
"shr-core-Coverage-model.subscriber[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","The party who has signed-up for or 'owns' the contractual relationship to the policy or to whom the benefit of the policy for services rendered to them or their family is due.","The party who has signed-up for or 'owns' the contractual relationship to the policy or to whom the benefit of the policy for services rendered to them or their family is due.","","","","","","","","","",,,,,"",,,,"shr-core-Coverage-model.subscriber[x]",0,1,"",""
"shr-core-Coverage-model.subscriberId[x]","","","",0,1,"","","","string {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}","The insurer assigned ID for the Subscriber.","The insurer assigned ID for the Subscriber.","","","","","","","","","",,,,,"",,,,"shr-core-Coverage-model.subscriberId[x]",0,1,"",""
"shr-core-Coverage-model.beneficiary","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model]]}
","The party who benefits from the insurance coverage., the patient when services are provided.","The party who benefits from the insurance coverage., the patient when services are provided.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1299487
",,,,"shr-core-Coverage-model.beneficiary",0,1,"",""
"shr-core-Coverage-model.beneficiaryRelationship","","","",0,1,"","","","Coding {[]} {[]}
","The relationship of beneficiary (patient) to the subscriber.","The relationship of beneficiary (patient) to the subscriber.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/subscriber-relationship","",,,,"shr-core-Coverage-model.beneficiaryRelationship",0,1,"",""
"shr-core-Coverage-model.dependentIdentifier","","","",0,1,"","","","string {[]} {[]}
","A unique identifier for a dependent under the coverage.","A unique identifier for a dependent under the coverage.","","","","","","","","","",,,,,"",,,,"shr-core-Coverage-model.dependentIdentifier",0,1,"",""
"shr-core-Coverage-model.effectiveTimePeriod","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EffectiveTimePeriod-model {[]} {[]}
","The date and time span for which something is active, valid, or in force.","The date and time span for which something is active, valid, or in force.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C2985763
",,,,"shr-core-Coverage-model.effectiveTimePeriod",0,1,"",""
"shr-core-Coverage-model.payor[x]","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","The program or plan underwriter or payor including both insurance and non-insurance agreements, such as patient-pay agreements.","The program or plan underwriter or payor including both insurance and non-insurance agreements, such as patient-pay agreements.","","","","","","","","","",,,,,"",,,,"shr-core-Coverage-model.payor[x]",1,*,"",""
"shr-core-Coverage-model.coverageClassification","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-CoverageClassification-model {[]} {[]}
","A suite of underwriter specific classifiers.","A suite of underwriter specific classifiers.","","","","","","","","","",,,,,"",,,,"shr-core-Coverage-model.coverageClassification",0,*,"",""
"shr-core-Coverage-model.priorityRank","","","",0,1,"","","","positiveInt {[]} {[]}
","The priority of the procedure, as a number (1 being the highest priority)","The priority of the procedure, as a number (1 being the highest priority)","","","","","","","","","",,,,,"",,,,"shr-core-Coverage-model.priorityRank",0,1,"",""
