"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-EpisodeOfCare-model","","","",0,*,"","","","","","An association between a patient and an organization / healthcare provider(s) during which time encounters may occur. The managing organization assumes a level of responsibility for the patient during this time.","","","","","","","","","",,,,,"",,,,"shr-core-EpisodeOfCare-model",0,*,"",""
"shr-core-EpisodeOfCare-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-EpisodeOfCare-model.metadata",0,1,"",""
"shr-core-EpisodeOfCare-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-EpisodeOfCare-model.language",0,1,"",""
"shr-core-EpisodeOfCare-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-EpisodeOfCare-model.implicitRules",0,1,"",""
"shr-core-EpisodeOfCare-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-EpisodeOfCare-model.narrative",0,1,"",""
"shr-core-EpisodeOfCare-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/episode-of-care-status","",,,,"shr-core-EpisodeOfCare-model.status",1,1,"",""
"shr-core-EpisodeOfCare-model.statusHistory","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-StatusHistory-model {[]} {[]}
","List of past encounter statuses","List of past encounter statuses","","","","","","","","","",,,,,"",,,,"shr-core-EpisodeOfCare-model.statusHistory",0,*,"",""
"shr-core-EpisodeOfCare-model.statusHistory.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/episode-of-care-status","",,,,"shr-core-EpisodeOfCare-model.statusHistory.status",1,1,"",""
"shr-core-EpisodeOfCare-model.statusHistory.timePeriod","","","",1,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","A period of time defined by a start and end time, date, or year.","A period of time defined by a start and end time, date, or year.
If the start date/time is missing, the start of the period is not known. If the end date/time is missing, it means that the period is ongoing.","","","","","","","","","",,,,,"",,,,"shr-core-EpisodeOfCare-model.statusHistory.timePeriod",1,1,"",""
"shr-core-EpisodeOfCare-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-EpisodeOfCare-model.identifier",0,*,"",""
"shr-core-EpisodeOfCare-model.timePeriod","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","A period of time defined by a start and end time, date, or year.","A period of time defined by a start and end time, date, or year.
If the start date/time is missing, the start of the period is not known. If the end date/time is missing, it means that the period is ongoing.","","","","","","","","","",,,,,"",,,,"shr-core-EpisodeOfCare-model.timePeriod",0,1,"",""
"shr-core-EpisodeOfCare-model.encounterDiagnosis","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EncounterDiagnosis-model {[]} {[]}
","A diagnosis, which is a disease or injury determined to be present through evaluation of patient history, examination, and/or review of laboratory data. This element is not a stand-alone representation of the condition that was diagnosed, but is meant to be used as an sub-structure in a resource, such as Encounter.","A diagnosis, which is a disease or injury determined to be present through evaluation of patient history, examination, and/or review of laboratory data. This element is not a stand-alone representation of the condition that was diagnosed, but is meant to be used as an sub-structure in a resource, such as Encounter.","","","","","","","","","",,,,,"",,,,"shr-core-EpisodeOfCare-model.encounterDiagnosis",0,*,"",""
