"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Media-model","","","",0,*,"","","","","","A photo, video, or audio recording acquired or used in healthcare. The actual content may be inline or provided by direct reference.","","","","","","","","","",,,,,"",,,,"shr-core-Media-model",0,*,"",""
"shr-core-Media-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.metadata",0,1,"",""
"shr-core-Media-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.language",0,1,"",""
"shr-core-Media-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.implicitRules",0,1,"",""
"shr-core-Media-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.narrative",0,1,"",""
"shr-core-Media-model.status","","","",0,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.status",0,1,"",""
"shr-core-Media-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.identifier",0,*,"",""
"shr-core-Media-model.partOf","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DomainResource-model]]}
","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.partOf",0,1,"",""
"shr-core-Media-model.mediaBasedOn","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ServiceRequest-model]]}
","Request that caused this media to be created","Request that caused this media to be created","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.mediaBasedOn",0,*,"",""
"shr-core-Media-model.type","","","",1,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/digital-media-type","http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-Media-model.type",1,1,"",""
"shr-core-Media-model.subtype","","","",0,1,"","","","Coding {[]} {[]}
","A further refinement of type.","A further refinement of type.","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.subtype",0,1,"",""
"shr-core-Media-model.view","","","",0,1,"","","","Coding {[]} {[]}
","The name of the imaging view e.g. Lateral or Antero-posterior (AP).","The name of the imaging view e.g. Lateral or Antero-posterior (AP).","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/media-view","",,,,"shr-core-Media-model.view",0,1,"",""
"shr-core-Media-model.mediaSubjectOfRecord[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Group-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Specimen-model]]}
","A choice of Patient, Practitioner, Group, Device or Specimen. These are choices for subject of Media resource.","A choice of Patient, Practitioner, Group, Device or Specimen. These are choices for subject of Media resource.","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.mediaSubjectOfRecord[x]",0,1,"",""
"shr-core-Media-model.careContext[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Encounter-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EpisodeOfCare-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.careContext[x]",0,1,"",""
"shr-core-Media-model.relevantTime[x]","","","",0,1,"","","","dateTime {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}","The time or time period that the statement addresses.","The time or time period that the statement addresses.
The clinically relevant time is not necessarily when the information is gathered or when a test is carried out, but for example, when a specimen was collected, or the time period referred to by the question. Use a TimePeriod for a measurement or specimen collection continued over a significant period of time (e.g. 24 hour Urine Sodium).","","","","","","","","","",,,,,"",,,,"shr-core-Media-model.relevantTime[x]",0,1,"",""
