"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-MedicationRequest-model","","","",0,*,"","","","","","An order for a medication to be dispensed and instructions for use.
Value sets for status are in direct conflict between DSTU2 Argonaut and STU3 US-Core.
Category does not exist in DSTU2 and is provided as an extension.
Intent was added in STU3 and is provided as an extension with required binding.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model",0,*,"",""
"shr-core-MedicationRequest-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.metadata",0,1,"",""
"shr-core-MedicationRequest-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.language",0,1,"",""
"shr-core-MedicationRequest-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.implicitRules",0,1,"",""
"shr-core-MedicationRequest-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.narrative",0,1,"",""
"shr-core-MedicationRequest-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.status",1,1,"",""
"shr-core-MedicationRequest-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.identifier",0,*,"",""
"shr-core-MedicationRequest-model.subjectOfRecord","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model]]}
","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.

Note that the word 'Subject' is used here in the sense of a person or entity subjected to observations or actions, not subject as in a conceptual topic, like heart disease.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1299487
",,,,"shr-core-MedicationRequest-model.subjectOfRecord",1,1,"",""
"shr-core-MedicationRequest-model.careContext[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Encounter-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EpisodeOfCare-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.careContext[x]",0,1,"",""
"shr-core-MedicationRequest-model.statementDateTime","","","",1,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-MedicationRequest-model.statementDateTime",1,1,"",""
"shr-core-MedicationRequest-model.reasonCode","","","",0,1,"","","","Coding {[]} {[]}
","The explanation or justification for the current item or action, as a code.","The explanation or justification for the current item or action, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/condition-code","http://ncimeta.nci.nih.gov#C0566251
",,,,"shr-core-MedicationRequest-model.reasonCode",0,1,"",""
"shr-core-MedicationRequest-model.reasonReference","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DomainResource-model]]}
","The justification, as reference to a condition or observation.","The justification, as reference to a condition or observation.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.reasonReference",0,*,"",""
"shr-core-MedicationRequest-model.basedOn","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DomainResource-model]]}
","The proposal, order, or plan that is partly or wholly fulfilled by this item.","The proposal, order, or plan that is partly or wholly fulfilled by this item.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.basedOn",0,*,"",""
"shr-core-MedicationRequest-model.code","","","",0,1,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.code",0,1,"",""
"shr-core-MedicationRequest-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/medication-admin-category","",,,,"shr-core-MedicationRequest-model.category",0,1,"",""
"shr-core-MedicationRequest-model.requester[x]","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model]]}
","The person or organization originating this referral","The person or organization originating this referral","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.requester[x]",1,1,"",""
"shr-core-MedicationRequest-model.requestIntent","","","",1,1,"","","","Coding {[]} {[]}
","Indicates the level of authority/intentionality associated with the request and where the request fits into the workflow chain.","Indicates the level of authority/intentionality associated with the request and where the request fits into the workflow chain.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/medication-request-intent","",,,,"shr-core-MedicationRequest-model.requestIntent",1,1,"",""
"shr-core-MedicationRequest-model.expectedPerformanceTime","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.expectedPerformanceTime",0,1,"",""
"shr-core-MedicationRequest-model.expectedPerformer","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","Who this request is being addressed to.","Who this request is being addressed to.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.expectedPerformer",0,*,"",""
"shr-core-MedicationRequest-model.expectedPerformerType","","","",0,0,"","","","Coding {[]} {[]}
","What type of party should carry out the testing.","What type of party should carry out the testing.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.expectedPerformerType",0,0,"",""
"shr-core-MedicationRequest-model.priorityCode[x]","","","",0,1,"","","","positiveInt {[]} {[]}
Coding {[]} {[]}","An indication of the importance of an action relative to other actions.","An indication of the importance of an action relative to other actions.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-MedicationRequest-model.priorityCode[x]",0,1,"",""
"shr-core-MedicationRequest-model.priorityCodeCoding","codeableConcept","","",1,1,"","","","Coding {[]} {[]}
","PositiveInt or code representing an indication of the importance of an action relative to other actions.","PositiveInt or code representing an indication of the importance of an action relative to other actions.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/medication-request-priority","",,,,"shr-core-MedicationRequest-model.priorityCodeCoding",1,1,"",""
"shr-core-MedicationRequest-model.annotation","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.annotation",0,1,"",""
"shr-core-MedicationRequest-model.medicationCodeOrReference[x]","","","",1,1,"","","","Coding {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Medication-model]]}","A choice of a medication code or reference.","A choice of a medication code or reference.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-MedicationRequest-model.medicationCodeOrReference[x]",1,1,"",""
"shr-core-MedicationRequest-model.medicationCodeOrReferenceCoding","CodeableConcept","","",1,1,"","","","Coding {[]} {[]}
","A set of codes drawn from different coding systems, representing the same concept.","A set of codes drawn from different coding systems, representing the same concept.","","","","","","","","","",,"extensible","","http://h7.org/fhir/us/core/ValueSet/us-core-medication-codes","",,,,"shr-core-MedicationRequest-model.medicationCodeOrReference[x]",1,1,"",""
"shr-core-MedicationRequest-model.dosage","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Dosage-model {[]} {[]}
","The dosage of the medication. The data structure is flexible and can describe a dosage prescribed, administered, or reported.","The dosage of the medication. The data structure is flexible and can describe a dosage prescribed, administered, or reported.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.dosage",0,1,"",""
"shr-core-MedicationRequest-model.numberOfRefillsAllowed","","","",0,1,"","","","positiveInt {[]} {[]}
","The maximum number of times the dispense can be repeated. For medication dispense, this integer does NOT include the original order dispense. This means that if an order indicates dispense 30 tablets plus 3 repeats, then the order can be dispensed a total of 4 times and the patient can receive a total of 120 tablets.","The maximum number of times the dispense can be repeated. For medication dispense, this integer does NOT include the original order dispense. This means that if an order indicates dispense 30 tablets plus 3 repeats, then the order can be dispensed a total of 4 times and the patient can receive a total of 120 tablets.","","","","","","","","","",,,,,"",,,,"shr-core-MedicationRequest-model.numberOfRefillsAllowed",0,1,"",""
