"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Questionnaire-model","","","",0,*,"","","","","","A structured set of questions intended to guide the collection of answers from end-users. Questionnaires provide detailed control over order, presentation, phraseology and grouping to allow coherent, consistent data collection.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model",0,*,"",""
"shr-core-Questionnaire-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.metadata",0,1,"",""
"shr-core-Questionnaire-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.language",0,1,"",""
"shr-core-Questionnaire-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.implicitRules",0,1,"",""
"shr-core-Questionnaire-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.narrative",0,1,"",""
"shr-core-Questionnaire-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/publication-status","",,,,"shr-core-Questionnaire-model.status",1,1,"",""
"shr-core-Questionnaire-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.identifier",0,*,"",""
"shr-core-Questionnaire-model.url","","","",0,1,"","","","uri {[]} {[]}
","A unique URL on which the device may be contacted directly.","A unique URL on which the device may be contacted directly.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.url",0,1,"",""
"shr-core-Questionnaire-model.versionString","","","",0,1,"","","","string {[]} {[]}
","A string associated with the product that identifies a particular release iteration.","A string associated with the product that identifies a particular release iteration.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.versionString",0,1,"",""
"shr-core-Questionnaire-model.name","","","",0,1,"","","","string {[]} {[]}
","The name as plain unstructured or semi-structured text.","The name as plain unstructured or semi-structured text.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.name",0,1,"",""
"shr-core-Questionnaire-model.title","","","",0,1,"","","","string {[]} {[]}
","A distinguishing word or group of words naming an item.","A distinguishing word or group of words naming an item.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.title",0,1,"",""
"shr-core-Questionnaire-model.derivedFrom","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-CanonicalUrl-model]]}
","Indicates the source of information in the case the Entry has been created by logical extension or modification of one or more source entries.","Indicates the source of information in the case the Entry has been created by logical extension or modification of one or more source entries.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.derivedFrom",0,*,"",""
"shr-core-Questionnaire-model.isExperimental","","","",0,1,"","","","boolean {[]} {[]}
","A Boolean value to indicate that the item is for testing purposes (or education/evaluation/marketing) and is not intended to be used for genuine usage.","A Boolean value to indicate that the item is for testing purposes (or education/evaluation/marketing) and is not intended to be used for genuine usage.","","","","","","","","","",,,,,"",,,,"shr-core-Questionnaire-model.isExperimental",0,1,"",""
