"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-ResearchStudy-model","","","",0,*,"","","","","","A clinical trial or similar research study. Reference: list of FDA data elements describing a research study: prsinfo.clinicaltrials.gov/definitions.html","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model",0,*,"",""
"shr-core-ResearchStudy-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.metadata",0,1,"",""
"shr-core-ResearchStudy-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.language",0,1,"",""
"shr-core-ResearchStudy-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.implicitRules",0,1,"",""
"shr-core-ResearchStudy-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.narrative",0,1,"",""
"shr-core-ResearchStudy-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/research-study-status","",,,,"shr-core-ResearchStudy-model.status",1,1,"",""
"shr-core-ResearchStudy-model.identifier","","","",1,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.identifier",1,1,"",""
"shr-core-ResearchStudy-model.partOf","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ResearchStudy-model]]}
","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.partOf",0,1,"",""
"shr-core-ResearchStudy-model.title","","","",1,1,"","","","string {[]} {[]}
","A distinguishing word or group of words naming an item.","A distinguishing word or group of words naming an item.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.title",1,1,"",""
"shr-core-ResearchStudy-model.purpose","","","",0,1,"","","","Coding {[]} {[]}
","Description of the intent or use of the item.","Description of the intent or use of the item.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/research-study-prim-purp-type","",,,,"shr-core-ResearchStudy-model.purpose",0,1,"",""
"shr-core-ResearchStudy-model.researchStudyPhase","","","",0,1,"","","","Coding {[]} {[]}
","The stage in the progression of a therapy from initial experimental use in humans in clinical trials to post-market evaluation.","The stage in the progression of a therapy from initial experimental use in humans in clinical trials to post-market evaluation.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/research-study-phase","",,,,"shr-core-ResearchStudy-model.researchStudyPhase",0,1,"",""
"shr-core-ResearchStudy-model.category","","","",0,*,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.category",0,*,"",""
"shr-core-ResearchStudy-model.focalSubject","","","",0,*,"","","","Coding {[]} {[]}
","The person or entity that the information in this resource relates to, if different than the person of record. The subject of information can be a reference or a code, the latter when the subject is described generically, for example, in terms of a relationship to the subject of record (e.g., wife).","The person or entity that the information in this resource relates to, if different than the person of record. The subject of information can be a reference or a code, the latter when the subject is described generically, for example, in terms of a relationship to the subject of record (e.g., wife).","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.focalSubject",0,*,"",""
"shr-core-ResearchStudy-model.conditionStudied","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model]]}
","The condition that is the focus of the study. For example, In a study to examine risk factors for Lupus, might have as an inclusion criterion 'healthy volunteer', but the target condition code would be a Lupus SNOMED code.","The condition that is the focus of the study. For example, In a study to examine risk factors for Lupus, might have as an inclusion criterion 'healthy volunteer', but the target condition code would be a Lupus SNOMED code.","","","","","","","","","",,,,,"",,,,"shr-core-ResearchStudy-model.conditionStudied",0,*,"",""
