"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-RespiratoryRate-model","","","",0,*,"","","","","","The rate of breathing (inhalation and exhalation) measured within in a unit time, expressed as breaths per minute.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model",0,*,"",""
"shr-core-RespiratoryRate-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.metadata",0,1,"",""
"shr-core-RespiratoryRate-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.language",0,1,"",""
"shr-core-RespiratoryRate-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.implicitRules",0,1,"",""
"shr-core-RespiratoryRate-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.narrative",0,1,"",""
"shr-core-RespiratoryRate-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/observation-status","",,,,"shr-core-RespiratoryRate-model.status",1,1,"",""
"shr-core-RespiratoryRate-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.identifier",0,*,"",""
"shr-core-RespiratoryRate-model.observationSubjectOfRecord","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model]]}
","A choice of Patient, Group, Device, or Location. These are the potential subjects for an Observation.","A choice of Patient, Group, Device, or Location. These are the potential subjects for an Observation.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1299487
",,,,"shr-core-RespiratoryRate-model.observationSubjectOfRecord",1,1,"",""
"shr-core-RespiratoryRate-model.careContext","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Encounter-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.careContext",0,1,"",""
"shr-core-RespiratoryRate-model.statementDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-RespiratoryRate-model.statementDateTime",0,1,"",""
"shr-core-RespiratoryRate-model.code","","","",1,1,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.code",1,1,"",""
"shr-core-RespiratoryRate-model.code.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"shr-core-RespiratoryRate-model.code.extension","","","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"",""
"shr-core-RespiratoryRate-model.code.system","","","",1,1,"","","Y","uri {[]} {[]}
","Identity of the terminology system","The identification of the code system that defines the meaning of the symbol in the code.","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.","Need to be unambiguous about the source of the definition of the symbol.","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://loinc.org""/>","","","","",,,,,"",,,,"Coding.system",0,1,"",""
"shr-core-RespiratoryRate-model.code.version","","","",0,1,"","","Y","string {[]} {[]}
","Version of the system - if relevant","The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"",""
"shr-core-RespiratoryRate-model.code.code","","","",1,1,"","","Y","code {[]} {[]}
","Symbol in syntax defined by the system","A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).","","Need to refer to a particular code in the system.","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""9279-1""/>","","","","",,,,,"",,,,"Coding.code",0,1,"",""
"shr-core-RespiratoryRate-model.code.display","","","",0,1,"","","Y","string {[]} {[]}
","Representation defined by the system","A representation of the meaning of the code in the system, following the rules of the system.","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"",""
"shr-core-RespiratoryRate-model.code.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"",""
"shr-core-RespiratoryRate-model.observationBasedOn[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationRequest-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ServiceRequest-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ProcedureRequest-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferralRequest-model]]}
","A plan, proposal or order that is fulfilled in whole or in part by this event. For example, a MedicationRequest may require a patient to have laboratory test performed before it is dispensed.","A plan, proposal or order that is fulfilled in whole or in part by this event. For example, a MedicationRequest may require a patient to have laboratory test performed before it is dispensed.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.observationBasedOn[x]",0,*,"",""
"shr-core-RespiratoryRate-model.observationPartOf[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationAdministration-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationDispense-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationStatement-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model]]}
","A larger event of which this particular Observation is a component or step. For example, an observation as part of a procedure.","A larger event of which this particular Observation is a component or step. For example, an observation as part of a procedure.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-RespiratoryRate-model.observationPartOf[x]",0,*,"",""
"shr-core-RespiratoryRate-model.observationPartOfShr-core-MedicationAdministration-model","MedicationAdministration","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationAdministration-model]]}
","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.","A record of the use of a medication. If the medication is given as part of a course of treatment, the PartOf attribute should refer to the CourseOfTreatment.
Although FHIR MedicationAdministration supports date of administration, information source, performer, it lacks common provenance elements, statement creation date, author, and recorder. These are supported as optional extensions.
FHIR DSTU2 lacks a category attribute, which is provided as an extension in that version.
SHR does not allow the 'not given' attributes from DSTU2 and STU3, since they are dropped in R4. The status element is used to document medications not given.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.observationPartOf[x]",0,*,"",""
"shr-core-RespiratoryRate-model.observationPartOfShr-core-MedicationDispense-model","MedicationDispense","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationDispense-model]]}
","Indicates that a medication product has been dispensed for a named person/patient. This includes a description of the medication product (supply) provided and the instructions for administering the medication. The medication dispense is the result of a pharmacy system responding to a medication order.","Indicates that a medication product has been dispensed for a named person/patient. This includes a description of the medication product (supply) provided and the instructions for administering the medication. The medication dispense is the result of a pharmacy system responding to a medication order.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.observationPartOf[x]",0,*,"",""
"shr-core-RespiratoryRate-model.observationPartOfShr-core-MedicationStatement-model","MedicationStatement","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-MedicationStatement-model]]}
","A record of the use of a medication. The use may be reported by the patient or clinician and adminstration does not have to be directly observed.","A record of the use of a medication. The use may be reported by the patient or clinician and adminstration does not have to be directly observed.

FHIR Notes:

Although FHIR supports the asserter (information source) and date asserted, it does not have a place for the author (who created and is responsible for the statement) and recorder (who entered the statement). Extensions are provided.

The treatment of 'not taken' has changed from DSTU2 and STU3 to R4. In R4, status and statusReason are used to indicate medications not taken. For upward compatibility, the 'not taken' attributes are profiled out.
ReasonCode is a choice of CodeableConcept or ref(Condition) in DSTU2, and limited to one reason (pick a type). In STU3 and R4, there can be multiple reason codes, and multiple reason references, simultaneously.

Preference is given to using the National Library of Medicine (NLM) RxNorm terminology for medications. RxNorm is a coding standard established by the Office of the National Coordinator (ONC). However, RxNorm is restricted to FDA-approved drugs and does not include clinical trial drugs. MedicationStatement allows for the inclusion of other coding systems like the NCI Thesaurus (NCIT) to represent clinical trial oncology drugs.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.observationPartOf[x]",0,*,"",""
"shr-core-RespiratoryRate-model.observationPartOfShr-core-Procedure-model","Procedure","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model]]}
","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","An action that is or was performed on or for a patient. This can be a physical intervention like an operation, or less invasive like long term services, counseling, or hypnotherapy.","","","","","","","","","",,,,,"",,,,"shr-core-RespiratoryRate-model.observationPartOf[x]",0,*,"",""
