"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-SimpleCodedNonLaboratoryObservation-model","","","",0,*,"","","","","","An observation whose result is a code, and also having no components or panel members","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.metadata",0,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.language",0,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.implicitRules",0,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.narrative",0,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/observation-status","",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.status",1,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.identifier",0,*,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.observationSubjectOfRecord[x]","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Group-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Location-model]]}
","A choice of Patient, Group, Device, or Location. These are the potential subjects for an Observation.","A choice of Patient, Group, Device, or Location. These are the potential subjects for an Observation.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.observationSubjectOfRecord[x]",1,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.careContext","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Encounter-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.careContext",0,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.statementDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.statementDateTime",0,1,"",""
"shr-core-SimpleCodedNonLaboratoryObservation-model.code","","","",1,1,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,,,,"",,,,"shr-core-SimpleCodedNonLaboratoryObservation-model.code",1,1,"",""
