"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"sw-PodiatryBodyLocation-model","","","",0,*,"","","","","","Locations of the foot.","","","","","","","","","",,,,,"",,,,"sw-PodiatryBodyLocation-model",0,*,"",""
"sw-PodiatryBodyLocation-model.locationCode","","","",1,1,"","","","Coding {[]} {[]}
","Code for the body location, optionally pre-coordinating laterality or direction.","Code for the body location, optionally pre-coordinating laterality or direction.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/sw/sw/vs/PodiatryBodyLocationVS","",,,,"sw-PodiatryBodyLocation-model.locationCode",1,1,"",""
"sw-PodiatryBodyLocation-model.laterality","","","",0,1,"","","","Coding {[]} {[]}
","Body side of the body location, if needed to distinguish from a similar location on the other side of the body.","Body side of the body location, if needed to distinguish from a similar location on the other side of the body.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/sw/shr/core/vs/LateralityVS","",,,,"sw-PodiatryBodyLocation-model.laterality",0,1,"",""
"sw-PodiatryBodyLocation-model.orientation","","","",0,1,"","","","Coding {[]} {[]}
","Orientation of the body location, if needed to distinguish from a similar location in another orientation.","Orientation of the body location, if needed to distinguish from a similar location in another orientation.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/sw/shr/core/vs/OrientationVS","",,,,"sw-PodiatryBodyLocation-model.orientation",0,1,"",""
"sw-PodiatryBodyLocation-model.relationToLandmark","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelationToLandmark-model {[]} {[]}
","An anatomical landmark that helps determine a body location.","An anatomical landmark that helps determine a body location.","","","","","","","","","",,,,,"",,,,"sw-PodiatryBodyLocation-model.relationToLandmark",0,*,"",""
"sw-PodiatryBodyLocation-model.relationToLandmark.landmarkType","","","",0,1,"","","","Coding {[]} {[]}
","The type of feature that constitutes the landmark, for example, particularly if the landmark is an acquired body structure or physical object.","The type of feature that constitutes the landmark, for example, particularly if the landmark is an acquired body structure or physical object.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/sw/shr/core/vs/LandmarkTypeVS","",,,,"sw-PodiatryBodyLocation-model.relationToLandmark.landmarkType",0,1,"",""
"sw-PodiatryBodyLocation-model.relationToLandmark.landmarkLocation","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-LandmarkLocation-model {[]} {[]}
","The body location of the landmark.","The body location of the landmark.","","","","","","","","","",,,,,"",,,,"sw-PodiatryBodyLocation-model.relationToLandmark.landmarkLocation",0,1,"",""
"sw-PodiatryBodyLocation-model.relationToLandmark.landmarkLocation.locationCode","","","",0,1,"","","","Coding {[]} {[]}
","Code for the body location, optionally pre-coordinating laterality or direction.","Code for the body location, optionally pre-coordinating laterality or direction.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/us/sw/shr/core/vs/BodyLocationVS","",,,,"sw-PodiatryBodyLocation-model.relationToLandmark.landmarkLocation.locationCode",0,1,"",""
"sw-PodiatryBodyLocation-model.relationToLandmark.landmarkLocation.laterality","","","",0,1,"","","","Coding {[]} {[]}
","Body side of the body location, if needed to distinguish from a similar location on the other side of the body.","Body side of the body location, if needed to distinguish from a similar location on the other side of the body.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/sw/shr/core/vs/LateralityVS","",,,,"sw-PodiatryBodyLocation-model.relationToLandmark.landmarkLocation.laterality",0,1,"",""
"sw-PodiatryBodyLocation-model.relationToLandmark.landmarkLocation.orientation","","","",0,1,"","","","Coding {[]} {[]}
","Orientation of the body location, if needed to distinguish from a similar location in another orientation.","Orientation of the body location, if needed to distinguish from a similar location in another orientation.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/sw/shr/core/vs/OrientationVS","",,,,"sw-PodiatryBodyLocation-model.relationToLandmark.landmarkLocation.orientation",0,1,"",""
"sw-PodiatryBodyLocation-model.relationToLandmark.landmarkToBodyLocationDirection[x]","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ClockFaceDirection-model {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-AnatomicalDirection-model {[]} {[]}","The direction from the landmark to the body location of interest.","The direction from the landmark to the body location of interest.","","","","","","","","","",,,,,"",,,,"sw-PodiatryBodyLocation-model.relationToLandmark.landmarkToBodyLocationDirection[x]",0,1,"",""
"sw-PodiatryBodyLocation-model.relationToLandmark.landmarkToBodyLocationDistance","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Quantity-model {[]} {[]}
","How far the anatomical location of interest is from the given landmark","How far the anatomical location of interest is from the given landmark","","","","","","","","","",,,,,"",,,,"sw-PodiatryBodyLocation-model.relationToLandmark.landmarkToBodyLocationDistance",0,1,"",""
